,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-05-01 17:29:59.999,1619882100000,5.91010000,6.08000000,5.75120000,5.99000000,1542917.40000000,1619882999999,9092442.24027000,11238,665862.50000000,3936557.41342000,0
2021-05-01 17:44:59.999,1619883000000,5.96010000,6.41000000,5.95880000,6.40990000,2396972.80000000,1619883899999,14857482.33259000,18484,1439197.70000000,8926501.28214000,0
2021-05-01 17:59:59.999,1619883900000,6.40190000,6.83330000,6.31420000,6.67340000,4244318.80000000,1619884799999,27818371.89054000,34179,2128753.60000000,13967399.96306000,0
2021-05-01 18:14:59.999,1619884800000,6.67090000,7.46250000,6.61360000,7.08720000,5742195.30000000,1619885699999,40503616.44571000,45819,2980591.50000000,21019917.44565000,0
2021-05-01 18:29:59.999,1619885700000,7.08690000,7.30000000,6.53280000,6.58000000,5088999.30000000,1619886599999,35454161.14802000,38034,2302664.20000000,16111344.37201000,0
2021-05-01 18:44:59.999,1619886600000,6.58030000,6.94290000,6.56000000,6.66600000,2673808.70000000,1619887499999,18008166.94440000,22565,1483642.20000000,10006491.58682000,0
2021-05-01 18:59:59.999,1619887500000,6.67910000,6.96250000,6.45000000,6.47620000,2022590.30000000,1619888399999,13646335.66749000,17442,882321.60000000,5975441.06541000,0
2021-05-01 19:14:59.999,1619888400000,6.46670000,6.63100000,6.28960000,6.44610000,2361004.60000000,1619889299999,15210260.17577000,17146,1101277.30000000,7107736.00345000,0
2021-05-01 19:29:59.999,1619889300000,6.44570000,6.48580000,6.28470000,6.48580000,1069349.90000000,1619890199999,6815103.10357000,9404,602668.60000000,3843687.66535000,0
2021-05-01 19:44:59.999,1619890200000,6.48580000,6.86000000,6.38510000,6.85930000,1709893.50000000,1619891099999,11388456.94608000,13886,1013574.90000000,6758287.39434000,0
2021-05-01 19:59:59.999,1619891100000,6.84990000,7.19000000,6.63740000,6.70490000,2393687.70000000,1619891999999,16435398.53678000,19361,1226155.40000000,8428943.54470000,0
2021-05-01 20:14:59.999,1619892000000,6.71170000,6.83000000,6.55090000,6.61450000,859195.60000000,1619892899999,5738318.85814000,8581,448813.60000000,2996620.77375000,0
2021-05-01 20:29:59.999,1619892900000,6.61970000,6.96600000,6.56190000,6.75640000,1084270.30000000,1619893799999,7350367.23376000,10816,611361.50000000,4145072.98448000,0
2021-05-01 20:44:59.999,1619893800000,6.76380000,6.93000000,6.63890000,6.67860000,725214.50000000,1619894699999,4934012.65847000,7859,361357.20000000,2460784.19695000,0
2021-05-01 20:59:59.999,1619894700000,6.69050000,6.80000000,6.59580000,6.66000000,379236.40000000,1619895599999,2540193.88904000,5440,182583.90000000,1222362.69664000,0
2021-05-01 21:14:59.999,1619895600000,6.66240000,6.73360000,6.52970000,6.55840000,476419.40000000,1619896499999,3156538.64821000,5463,208736.90000000,1384661.11329000,0
2021-05-01 21:29:59.999,1619896500000,6.55940000,6.69000000,6.42000000,6.68000000,483036.20000000,1619897399999,3163365.14818000,6010,245237.90000000,1608600.94388000,0
2021-05-01 21:44:59.999,1619897400000,6.68770000,6.68920000,6.47500000,6.55990000,249274.80000000,1619898299999,1636691.61968000,3905,110108.30000000,722688.96251000,0
2021-05-01 21:59:59.999,1619898300000,6.55900000,6.58590000,6.44360000,6.54030000,250476.80000000,1619899199999,1632168.47635000,3254,130412.30000000,850397.88213000,0
2021-05-01 22:14:59.999,1619899200000,6.54030000,6.58990000,6.45000000,6.57730000,322404.60000000,1619900099999,2104105.58523000,3861,180416.50000000,1178565.29491000,0
2021-05-01 22:29:59.999,1619900100000,6.57630000,6.59860000,6.47430000,6.50000000,186717.60000000,1619900999999,1217748.51309000,2773,82359.10000000,537235.08537000,0
2021-05-01 22:44:59.999,1619901000000,6.50430000,6.50470000,6.37340000,6.37490000,290688.20000000,1619901899999,1871465.66592000,3676,113771.50000000,732821.18343000,0
